Sales_date,Product_Code,Quantity,Price,Cost
19-10-16,230,23,184000,77625
19-10-19,240,10,75000,36000
19-10-26,260,6,42000,17550
19-11-02,290,7,56000,25200
19-11-06,260,23,149500,67275
19-11-09,290,7,56000,25200
19-11-16,260,12,78000,35100
19-11-16,220,23,161000,67275
19-11-21,260,5,32500,14625
19-11-23,280,12,84000,40500
19-11-25,220,7,45500,20475
19-11-27,290,12,96000,43200
19-11-28,290,15,120000,54000
19-12-11,250,27,175500,85050
19-12-12,260,23,161000,67275
19-12-16,290,6,48000,21600
19-12-16,280,25,187500,84375
19-12-16,260,15,97500,43875
19-12-19,280,12,78000,40500
19-12-24,260,15,105000,43875
20-01-06,240,10,70000,36000
20-01-09,260,12,78000,35100
20-01-09,280,23,172500,77625
20-01-10,250,25,175000,78750
20-01-24,240,23,161000,82800
20-01-31,210,7,49000,22050
20-02-06,240,5,35000,18000
20-02-09,270,10,70000,31500
20-02-23,230,10,75000,33750
20-02-25,260,5,32500,14625
20-03-04,260,6,42000,17550
20-03-07,280,7,49000,23625
20-03-08,280,25,162500,84375
20-03-24,240,12,84000,43200
20-03-27,260,23,161000,67275
20-03-27,250,10,80000,31500
20-03-30,270,25,200000,78750
20-03-30,220,6,45000,17550
20-03-31,220,5,35000,14625
20-04-01,240,15,120000,54000
20-04-08,260,23,161000,67275
20-04-12,290,23,184000,82800
20-04-19,220,12,84000,35100
20-04-23,250,23,184000,72450
20-04-26,280,5,37500,16875
20-04-28,250,15,97500,47250
20-05-20,220,5,35000,14625
20-05-27,260,25,162500,73125
20-05-29,280,23,172500,77625
20-06-02,220,27,189000,78975
20-06-06,260,30,195000,87750
20-06-08,210,23,184000,72450
20-06-11,260,23,161000,67275
20-06-14,260,7,45500,20475
20-06-19,280,23,149500,77625
20-06-26,260,30,195000,87750
20-07-02,220,12,90000,35100
20-07-11,240,6,42000,21600
20-07-12,280,30,195000,101250
20-07-13,290,23,184000,82800
20-07-15,290,25,200000,90000
20-07-17,240,5,35000,18000
20-07-23,240,12,84000,43200
20-07-27,280,7,45500,23625
20-07-30,210,12,78000,37800
20-08-02,280,23,149500,77625
20-08-02,240,5,40000,18000
20-08-04,220,25,175000,73125
20-08-05,240,6,42000,21600
20-08-10,210,23,184000,72450
20-08-13,260,27,175500,78975
20-08-16,240,10,80000,36000
20-08-18,220,23,161000,67275
20-08-18,240,6,42000,21600
20-08-19,280,30,195000,101250
20-08-23,260,7,45500,20475
20-08-25,240,30,240000,108000
20-08-26,240,23,161000,82800
20-09-01,240,12,90000,43200
20-09-02,220,6,45000,17550
20-09-19,220,23,172500,67275
20-09-23,290,23,161000,82800
20-09-28,240,23,184000,82800
20-10-03,280,6,39000,20250
20-10-09,280,15,112500,50625
20-10-13,260,15,97500,43875
20-10-17,260,23,161000,67275
20-10-23,290,23,161000,82800
20-10-25,240,6,48000,21600
20-11-09,210,25,175000,78750
20-11-16,220,6,42000,17550
20-11-18,230,12,90000,40500
20-11-26,240,5,35000,18000
20-11-30,240,27,216000,97200
20-12-04,240,6,42000,21600
20-12-10,240,7,56000,25200
20-12-13,290,23,161000,82800
20-12-15,250,12,84000,37800
20-12-17,280,23,172500,77625
20-12-17,290,7,49000,25200
20-12-21,290,23,184000,82800
20-12-21,280,7,52500,23625
20-12-21,250,25,200000,78750
